artist_id,artist_name,url
mn0001166126,Starr Parodi,https://www.allmusic.com/artist/starr-parodi-mn0001166126
mn0002995747,Sharon Farber,https://www.allmusic.com/artist/sharon-farber-mn0002995747
mn0001866570,Nathalie Bonin,https://www.allmusic.com/artist/nathalie-bonin-mn0001866570
mn0003859082,Anne-Kathrin Dern,https://www.allmusic.com/artist/anne-kathrin-dern-mn0003859082
mn0003543287,Isolde Fair,https://www.allmusic.com/artist/isolde-fair-mn0003543287
mn0000158083,Andy Akiho,https://www.allmusic.com/artist/andy-akiho-mn0000158083
mn0001629532,Paul Juon,https://www.allmusic.com/artist/paul-juon-mn0001629532
mn0001604575,David Popper,https://www.allmusic.com/artist/david-popper-mn0001604575
mn0001188591,Anatol Lyadov,https://www.allmusic.com/artist/anatol-lyadov-mn0001188591
mn0003217561,Margarete Schweikert,https://www.allmusic.com/artist/margarete-schweikert-mn0003217561
mn0000250057,Nikolai Rimsky-Korsakov,https://www.allmusic.com/artist/nikolai-rimsky-korsakov-mn0000250057
mn0000750697,Edward MacDowell,https://www.allmusic.com/artist/edward-macdowell-mn0000750697
mn0000278644,Howard Shore,https://www.allmusic.com/artist/howard-shore-mn0000278644
mn0002252485,Huang Ruo,https://www.allmusic.com/artist/huang-ruo-mn0002252485
mn0001692970,Dobrinka Tabakova,https://www.allmusic.com/artist/dobrinka-tabakova-mn0001692970
mn0001664652,Jacobus Handl (Gallus),https://www.allmusic.com/artist/jacobus-handl-gallus-mn0001664652
mn0001322426,William Ballet,https://www.allmusic.com/artist/william-ballet-mn0001322426
mn0000813092,John Jacob Niles,https://www.allmusic.com/artist/john-jacob-niles-mn0000813092
mn0003062253,Toby Young,https://www.allmusic.com/artist/toby-young-mn0003062253
mn0001796932,James Bassi,https://www.allmusic.com/artist/james-bassi-mn0001796932
mn0003854252,Sophie de Bardonnèche,https://www.allmusic.com/artist/sophie-de-bardonn%C3%A8che-mn0003854252
mn0001712444,Victor Julien-Laferrière,https://www.allmusic.com/artist/victor-julien-laferri%C3%A8re-mn0001712444
mn0004163501,Hanna Salzenstein,https://www.allmusic.com/artist/hanna-salzenstein-mn0004163501
mn0003854251,Théotime Langlois de Swarte,https://www.allmusic.com/artist/th%C3%A9otime-langlois-de-swarte-mn0003854251
mn0003545745,Justin Taylor,https://www.allmusic.com/artist/justin-taylor-mn0003545745
mn0002209833,Giovanni Reali,https://www.allmusic.com/artist/giovanni-reali-mn0002209833
mn0002274916,Kevin Puts,https://www.allmusic.com/artist/kevin-puts-mn0002274916
mn0003654274,Giulia Lorusso,https://www.allmusic.com/artist/giulia-lorusso-mn0003654274
mn0002191065,Linda Catlin Smith,https://www.allmusic.com/artist/linda-catlin-smith-mn0002191065
mn0001679101,Rebecca Saunders,https://www.allmusic.com/artist/rebecca-saunders-mn0001679101
mn0002132995,Carl Heinrich Graun,https://www.allmusic.com/artist/carl-heinrich-graun-mn0002132995
